ENSG00000174348
ENSG00000232993
ENSG00000158966
ENSG00000143013
ENSG00000162631
ENSG00000116774
ENSG00000197747
ENSG00000160716
ENSG00000143153
ENSG00000092969
ENSG00000178568
ENSG00000115461
ENSG00000134121
ENSG00000168306
ENSG00000144824
ENSG00000154928
ENSG00000154310
ENSG00000249626
ENSG00000134853
ENSG00000173083
ENSG00000176788
ENSG00000120738
ENSG00000113657
ENSG00000173210
ENSG00000228078
ENSG00000229391
ENSG00000237541
ENSG00000124780
ENSG00000112837
ENSG00000135318
ENSG00000196569
ENSG00000164442
ENSG00000071242
ENSG00000005020
ENSG00000091136
ENSG00000105894
ENSG00000146926
ENSG00000101825
ENSG00000101977
ENSG00000182319
ENSG00000179388
ENSG00000133863
ENSG00000137571
ENSG00000079102
ENSG00000198963
ENSG00000106829
ENSG00000170681
ENSG00000185585
ENSG00000107317
ENSG00000107562
ENSG00000269515
ENSG00000152726
ENSG00000168209
ENSG00000269926
ENSG00000156113
ENSG00000226688
ENSG00000023445
ENSG00000159403
ENSG00000166535
ENSG00000182993
ENSG00000111341
ENSG00000139329
ENSG00000011465
ENSG00000256546
ENSG00000133110
ENSG00000241353
ENSG00000186469
ENSG00000259007
ENSG00000267802
ENSG00000119681
ENSG00000185070
ENSG00000140092
ENSG00000273259
ENSG00000196136
ENSG00000129009
ENSG00000183793
ENSG00000103528
ENSG00000261596
ENSG00000260644
ENSG00000266129
ENSG00000272815
ENSG00000267365
ENSG00000123700
ENSG00000132470
ENSG00000198795
ENSG00000205181
ENSG00000124225
ENSG00000124205
ENSG00000167676
ENSG00000142449
ENSG00000203403
ENSG00000266964
ENSG00000234465
ENSG00000204851
ENSG00000204850
ENSG00000105366
ENSG00000099998
ENSG00000073146
